Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
880;2024-01-01 14:40:00;4376,976336050031;7450;400,0;411,3902647575931;3565,586071292438;p_max;51350,0;0,998320738874895
885;2024-01-01 14:45:00;7444,875939999995;11550;500,0;700,0;6244,875939999996;p_max;51350,0;0,998320738874895
890;2024-01-01 14:50:00;8044,972427761063;12550;500,0;1050,0;6494,972427761063;p_max;51350,0;0,998320738874895
895;2024-01-01 14:55:00;6651,336727972999;12550;500,0;922,7561806553808;5228,580547317617;p_max;51350,0;0,998320738874895
900;2024-01-01 15:00:00;5369,246355245471;11200;500,0;700,0;4169,246355245471;p_max;51350,0;0,998320738874895
905;2024-01-01 15:05:00;4259,5774243284895;11200;500,0;700,0;3059,5774243284895;p_max;51350,0;0,998320738874895
910;2024-01-01 15:10:00;4929,015759990538;10550;500,0;1050,0;3379,015759990538;p_max;51350,0;0,998320738874895
915;2024-01-01 15:15:00;4531,614013000002;11550;500,0;1050,0;2981,6140130000017;p_max;51350,0;0,998320738874895
920;2024-01-01 15:20:00;5659,140106117627;12550;500,0;767,6355113431285;4391,504594774498;p_max;51350,0;0,998320738874895
925;2024-01-01 15:25:00;5706,19746641809;12650;600,0;620,9266157745772;4485,270850643513;p_max;51350,0;0,998320738874895
930;2024-01-01 15:30:00;5452,65261383299;9300;600,0;350,0;4502,65261383299;p_max;51350,0;0,998320738874895
935;2024-01-01 15:35:00;4975,851151999993;8300;600,0;700,0;3675,8511519999934;p_max;51350,0;0,998320738874895
940;2024-01-01 15:40:00;4164,4933146571475;9300;600,0;378,27772101661395;3186,215593640534;p_max;51350,0;0,998320738874895
945;2024-01-01 15:45:00;4942,365713846474;11400;700,0;350,0;3892,3657138464746;p_max;51350,0;0,998320738874895
950;2024-01-01 15:50:00;6248,568358177104;12400;700,0;350,0;5198,5683581771045;p_max;51350,0;0,998320738874895
955;2024-01-01 15:55:00;7252,634043000004;13050;700,0;350,0;6202,634043000004;p_max;51350,0;0,998320738874895
960;2024-01-01 16:00:00;6541,860787108764;12050;700,0;350,0;5491,860787108765;p_max;51350,0;0,998320738874895
965;2024-01-01 16:05:00;5386,530152320194;11050;700,0;350,0;4336,530152320194;p_max;51350,0;0,998320738874895
970;2024-01-01 16:10:00;4817,288211204547;11050;700,0;58,29481187982893;4058,9933993247187;p_max;51350,0;0,998320738874895
975;2024-01-01 16:15:00;3504,4921981532407;10150;800,0;0,0;2704,49219815324;p_max;51350,0;0,998320738874895
980;2024-01-01 16:20:00;3746,922166252861;11150;800,0;350,0;2596,922166252861;p_max;51350,0;0,998320738874895
985;2024-01-01 16:25:00;3332,674436000001;10150;800,0;350,0;2182,674436000001;p_max;51350,0;0,998320738874895
990;2024-01-01 16:30:00;4479,047894000002;10150;800,0;350,0;3329,0478940000025;p_max;51350,0;0,998320738874895
995;2024-01-01 16:35:00;4049,445142;8250;900,0;350,0;2799,445142;p_max;51350,0;0,998320738874895
1000;2024-01-01 16:40:00;3437,927507999999;6250;900,0;350,0;2187,927507999999;p_max;51350,0;0,998320738874895
1005;2024-01-01 16:45:00;4503,826240650694;8250;900,0;350,0;3253,8262406506933;p_max;51350,0;0,998320738874895
1010;2024-01-01 16:50:00;5021,312599577115;8350;1000,0;350,0;3671,3125995771147;p_max;51350,0;0,998320738874895
1015;2024-01-01 16:55:00;6134,022113977933;9800;1100,0;700,0;4334,022113977932;p_max;51350,0;0,998320738874895
1020;2024-01-01 17:00:00;6624,041992151766;10800;1100,0;653,0542791517651;4870,987713000001;p_max;51350,0;0,998320738874895
1025;2024-01-01 17:05:00;6327,4344309485705;10450;1100,0;350,0;4877,434430948571;p_max;51350,0;0,998320738874895
1030;2024-01-01 17:10:00;5212,227040490219;10650;1300,0;350,0;3562,227040490219;p_max;51350,0;0,998320738874895
1035;2024-01-01 17:15:00;5607,298508222593;10000;1300,0;700,0;3607,2985082225932;p_max;51350,0;0,998320738874895
1040;2024-01-01 17:20:00;6701,550610660573;12100;1400,0;700,0;4601,550610660573;p_max;51350,0;0,998320738874895
1045;2024-01-01 17:25:00;7656,931506;14450;1400,0;1050,0;5206,931506;p_max;51350,0;0,998320738874895
1050;2024-01-01 17:30:00;8947,783032000001;14550;1500,0;1050,0;6397,783032000001;p_max;51350,0;0,998320738874895
1055;2024-01-01 17:35:00;10850,945100550167;16650;1600,0;715,9600012662243;8534,985099283946;p_max;51350,0;0,998320738874895
1060;2024-01-01 17:40:00;9034,95949000002;14400;1700,0;700,0;6634,959490000019;p_max;51350,0;0,998320738874895
1065;2024-01-01 17:45:00;7058,7590546899755;13500;1800,0;700,0;4558,7590546899755;p_max;51350,0;0,998320738874895
1070;2024-01-01 17:50:00;7091,015210183534;13800;2100,0;423,922548183533;4567,092662000001;p_max;51350,0;0,998320738874895
1075;2024-01-01 17:55:00;8483,96107078085;17300;2600,0;350,0;5533,96107078085;p_max;51350,0;0,998320738874895
1080;2024-01-01 18:00:00;8237,951717;17150;2800,0;350,0;5087,951717000001;p_max;51350,0;0,998320738874895
1085;2024-01-01 18:05:00;8103,853727414854;16250;2900,0;73,15873406923504;5130,69499334562;p_max;51350,0;0,998320738874895
1090;2024-01-01 18:10:00;9020,342264999997;15900;2900,0;0,0;6120,3422649999975;p_max;51350,0;0,998320738874895
1095;2024-01-01 18:15:00;8620,114208;14650;3300,0;350,0;4970,114208000001;p_max;51350,0;0,998320738874895
1100;2024-01-01 18:20:00;9633,596650916525;13650;3300,0;350,0;5983,5966509165255;p_max;51350,0;0,998320738874895
1105;2024-01-01 18:25:00;10639,912170896283;15750;3400,0;350,0;6889,912170896283;p_max;51350,0;0,998320738874895
1110;2024-01-01 18:30:00;9573,137178252025;16850;3500,0;350,0;5723,137178252025;p_max;51350,0;0,998320738874895
1115;2024-01-01 18:35:00;9543,372779253974;16850;3500,0;350,0;5693,372779253974;p_max;51350,0;0,998320738874895
1120;2024-01-01 18:40:00;10512,605205969649;16150;3800,0;350,0;6362,605205969651;p_max;51350,0;0,998320738874895
1125;2024-01-01 18:45:00;9816,253918364648;16150;3800,0;350,0;5666,253918364649;p_max;51350,0;0,998320738874895
1130;2024-01-01 18:50:00;8583,408062823992;16250;3900,0;350,0;4333,408062823991;p_max;51350,0;0,998320738874895
1135;2024-01-01 18:55:00;11647,116321580155;18250;3800,9722429061985;157,89615767395804;7688,247921;p_max;51350,0;0,998320738874895
1140;2024-01-01 19:00:00;12217,841477210079;19200;4100,0;0,0;8117,84147721008;p_max;51350,0;0,998320738874895
1145;2024-01-01 19:05:00;13005,13931710461;19400;4300,0;0,0;8705,139317104611;p_max;51350,0;0,998320738874895
1150;2024-01-01 19:10:00;15536,244902687034;22600;4500,0;0,0;11036,244902687036;p_max;51350,0;0,998320738874895
1155;2024-01-01 19:15:00;14350,211423964733;22700;4600,0;0,0;9750,211423964734;p_max;51350,0;0,998320738874895
